year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2013,Nanyang Technological University,College of Sciences,Biomedical Sciences,,,,,,,,
2013,Nanyang Technological University,College of Sciences,Mathematics & Economics,,,,,,,,
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology),,,,,,,,
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computer Engineering),,,,,,,,
2013,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture),,,,,,,,
2013,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music,,,,,,,,
2013,National University of Singapore,Faculty of Science,Bachelor of Applied Science,,,,,,,,
2013,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology),,,,,,,,
2014,Nanyang Technological University,College of Sciences,Biomedical Science,,,,,,,,
2014,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology),,,,,,,,
2014,National University of Singapore,School of Computing,Bachelor of Computing (Computer Engineering),,,,,,,,
2014,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music,,,,,,,,
2014,National University of Singapore,Faculty of Science,Bachelor of Applied Science,,,,,,,,
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology),,,,,,,,
2015,Nanyang Technological University,College of Engineering,Aerospace Engineering and Economics,,,,,,,,
2015,Nanyang Technological University,College of Engineering,Business and Computer Engineering,,,,,,,,
2015,Nanyang Technological University,College of Engineering,Chemical And Biomolecular Engineering and Economics,,,,,,,,
2015,Nanyang Technological University,College of Engineering,Environmental Engineering and Economics,,,,,,,,
2015,Nanyang Technological University,College of Engineering,Information Engineering And Media and Economics,,,,,,,,
2015,Nanyang Technological University,College of Engineering,Mechanical Engineering and Economics,,,,,,,,
2015,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology),,,,,,,,
2015,National University of Singapore,School of Computing,Bachelor of Computing (Computer Engineering),,,,,,,,
2015,National University of Singapore,Faculty of Science,Bachelor of Applied Science,,,,,,,,
2015,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology),,,,,,,,
2015,Singapore University of Technology and Design,,Bachelor of Science (Architecture and Sustainable Design),,,,,,,,
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Arts in Game Design,,,,,,,,
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science & Game Design,,,,,,,,
2015,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Radiation Therapy),,,,,,,,
2016,Nanyang Technological University,College of Engineering,Aerospace Engineering and Economics,,,,,,,,
2016,Nanyang Technological University,College of Engineering,Business and Computer Engineering,,,,,,,,
2016,Nanyang Technological University,College of Engineering,Materials Engineering and Economics,,,,,,,,
2016,Nanyang Technological University,College of Engineering,Mechanical Engineering and Economics,,,,,,,,
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Public Policy And Global Affairs,,,,,,,,
2016,National University of Singapore,Faculty of Science,Bachelor of Applied Science,,,,,,,,
2016,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology),,,,,,,,
2016,National University of Singapore,School of Computing,Bachelor of Computing (Communications And Media),,,,,,,,
2016,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),,,,,,,,
2016,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Arts in Game Design,,,,,,,,
2016,Singapore Institute of Technology,Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin,Bachelor in Science (Radiation Therapy),,,,,,,,
2016,Singapore University of Technology and Design,,Bachelor of Science (Architecture and Sustainable Design),,,,,,,,
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Aerospace Engineering) and Bachelor of Arts (Hons) in Economics,,,,,,,,
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Chemical And Biomolecular Engineering) and Bachelor of Arts (Hons) in Economics,,,,,,,,
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Civil Engineering) and Bachelor of Arts (Hons) in Economics,,,,,,,,
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Engineering),,,,,,,,
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Information Engineering & Media) and Bachelor of Arts (Hons) in Economics,,,,,,,,
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Materials Engineering) and Bachelor of Arts (Hons) in Economics,,,,,,,,
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Mechanical Engineering) and Bachelor of Arts (Hons) in Economics,,,,,,,,
2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Philosophy,,,,,,,,
2017,National University of Singapore,Faculty of Science,Bachelor of Applied Science,,,,,,,,
2017,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology),,,,,,,,
2017,National University of Singapore,School of Computing,Bachelor of Computing (Communications And Media),,,,,,,,
2017,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology),,,,,,,,
2017,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),,,,,,,,
2017,National University of Singapore,School of Computing,Bachelor of Computing (Information Security),,,,,,,,
2017,Singapore Institute of Technology,Singapore Institute of Technology -Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Diagnostic Radiography),,,,,,,,
2017,Singapore Institute of Technology,Singapore Institute of Technology -Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Radiation Therapy),,,,,,,,
2017,Singapore University of Technology and Design,,Bachelor of Science (Architecture and Sustainable Design),,,,,,,,
2018,Nanyang Technological University,College of Engineering,Aerospace Engineering and Economics,,,,,,,,
2018,Nanyang Technological University,College of Engineering,Business and Computer Engineering,,,,,,,,
2018,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering and Economics,,,,,,,,
2018,Nanyang Technological University,College of Engineering,Computer Engineering and Economics,,,,,,,,
2018,Nanyang Technological University,College of Engineering,Environmental Engineering and Economics,,,,,,,,
2018,Nanyang Technological University,College of Sciences,Biomedical Sciences,,,,,,,,
2018,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,,,,,,,,
2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science),,,,,,,,
2018,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology),,,,,,,,
2018,National University of Singapore,School of Computing,Bachelor of Computing (Communications and Media),,,,,,,,
2018,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology),,,,,,,,
2018,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),,,,,,,,
2018,National University of Singapore,School of Computing,Bachelor of Computing (Information Security),,,,,,,,
2018,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture),,,,,,,,
2018,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery,,,,,,,,
2018,Singapore Institute of Technology,SIT-Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Radiation Therapy),,,,,,,,
2019,Nanyang Technological University,College of Engineering,Aerospace Engineering and Economics,,,,,,,,
2019,Nanyang Technological University,College of Engineering,Business and Computer Engineering,,,,,,,,
2019,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering and Economics,,,,,,,,
2019,Nanyang Technological University,College of Engineering,Civil Engineering and Economics,,,,,,,,
2019,Nanyang Technological University,College of Engineering,Environmental Engineering and Economics,,,,,,,,
2019,Nanyang Technological University,College of Engineering,Materials Engineering and Economics,,,,,,,,
2019,Nanyang Technological University,College of Engineering,Mechanical Engineering and Economics,,,,,,,,
2019,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology),,,,,,,,
2019,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),,,,,,,,
2019,National University of Singapore,School of Computing,Bachelor of Computing (Information Security),,,,,,,,
2019,Singapore Institute of Technology,SIT-Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,,,,,,,,
2019,Singapore Institute of Technology,SIT-Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,,,,,,,,
2019,Singapore Institute of Technology,SIT-Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Diagnostic Radiography),,,,,,,,
2019,Singapore Institute of Technology,SIT-Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Radiation Therapy),,,,,,,,
2019,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Electrical Engineering & Information Technology,,,,,,,,
2021,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Medicine and Bachelor of Surgery,,,,,,,,
2022,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology),,,,,,,,
2022,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Medicine and Bachelor of Surgery,,,,,,,,
2022,Singapore University of Social Sciences,School of Law,Bachelor of Law,,,,,,,,
2023,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology),,,,,,,,
2023,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy),,,,,,,,
2023,National University of Singapore,College of Design and Engineering,Bachelor of Arts (Architecture),,,,,,,,
2023,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Medicine and Bachelor of Surgery,,,,,,,,
2023,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,,,,,,,,
2023,Singapore University of Social Sciences,S R Nathan School of Human Development,Bachelor of Social Work,,,,,,,,
2023,Singapore University of Social Sciences,School of Law,Bachelor of Law,,,,,,,,
